part_number,name,spec_frequency,name_contains_part_number,url
TXETDDSANF-30.000000,Taitien XTAL OSC TCXO 30.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TXETDDSANF-30.000000
MC2016K25.0000C16ESH,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MC2016K25.0000C16ESH
TXETBLSANF-40.000000,Taitien XTAL OSC TCXO 40.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TXETBLSANF-40.000000
TXEABLSANF-26.000000,Taitien XTAL OSC VCTCXO 26.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TXEABLSANF-26.000000
ECS-2520SMV-192-FP-TR,ECS Inc. XTAL OSC XO 19.2000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520SMV-192-FP-TR
ECS-2520SMV-250-FP-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520SMV-250-FP-TR
SG5032CAN 25.000000M-TJGA3,EPSON XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG5032CAN-25.000000M-TJGA3
SG5032CAN 50.000000M-TJGA3,EPSON XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG5032CAN-50.000000M-TJGA3
SG5032CAN 24.000000M-TJGA3,EPSON XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG5032CAN-24.000000M-TJGA3
ECS-TXO-3225-250-TR,ECS Inc. XTAL OSC TCXO 25.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-3225-250-TR
357LB3I027M0000,CTS-Frequency Controls XTAL OSC VCXO 27.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/357LB3I027M0000
SG-210STF 25.0000ML3,EPSON XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-25.0000ML3
SG-210STF 16.0000ML,EPSON XTAL OSC XO 16.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-16.0000ML
SG-210STF 27.0000ML,EPSON XTAL OSC XO 27.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-27.0000ML
ECS-TXO-3225-122.8-TR,ECS Inc. XTAL OSC TCXO 12.2880MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-3225-122.8-TR
MAX7375AXR105+T,Analog Devices Inc./Maxim Integrated MEMS OSC XO 1.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MAX7375AXR105-T
MAX7375AXR805+T,Analog Devices Inc./Maxim Integrated MEMS OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/MAX7375AXR805-T
ASDDV-25.000MHZ-LR-T,Abracon LLC OSC XO 25.000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-25.000MHZ-LR-T
SG-210STF 25.0000MS3,EPSON XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-25.0000MS3
ECS-TXO-3225-160-TR,ECS Inc. XTAL OSC TCXO 16.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-3225-160-TR
ECS-TXO-2520-33-240-AN-TR,ECS Inc. XTAL OSC TCXO 24.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2520-33-240-AN-TR
ASDMB-24.000MHZ-LC-T,Abracon LLC MEMS OSC XO 24.0000MHZ LVCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDMB-24.000MHZ-LC-T
ECS-TXO-2520-33-250-AN-TR,ECS Inc. XTAL OSC TCXO 25.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-TXO-2520-33-250-AN-TR
ASDMB-33.333MHZ-LC-T,Abracon LLC MEMS OSC XO 33.3330MHZ LVCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDMB-33.333MHZ-LC-T
ASH7KW-32.768KHZ-L-T,Abracon LLC XTAL OSC XO 32.7680KHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASH7KW-32.768KHZ-L-T
TYETBLSANF-40.000000,Taitien XTAL OSC TCXO 40.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TYETBLSANF-40.000000
FT5HNBPK25.0-T1,Fox Electronics XTAL OSC TCXO 25.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/FT5HNBPK25.0-T1
FT5HNBPK20.0-T1,Fox Electronics XTAL OSC TCXO 20.0000MHZ HCMOS,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/FT5HNBPK20.0-T1
TYETBCSANF-32.000000,Taitien XTAL OSC TCXO 32.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TYETBCSANF-32.000000
TYETBLSANF-38.400000,Taitien XTAL OSC TCXO 38.4000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TYETBLSANF-38.400000
ECS-3225SMV-120-FP-TR,ECS Inc. XTAL OSC XO 12MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225SMV-120-FP-TR
TXETALSANF-26.000000,Taitien XTAL OSC TCXO 26.0000MHZ SNWV,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/TXETALSANF-26.000000
ABM8-16.000MHZ-D1X-T,Abracon ABM8-16.000MHZ-D1X-T 32MHz 8pF 2016 SMD Crystal,32MHz,yes,https://songglow.com/components/crystals/ABM8-16.000MHZ-D1X-T
ABM3-20.000MHZ-D2Y-T,Abracon ABM3-20.000MHZ-D2Y-T 12MHz 18pF 3225 SMD Crystal,12MHz,yes,https://songglow.com/components/crystals/ABM3-20.000MHZ-D2Y-T
